@relation WallFollowingRobotNavigation_4

@attribute SD_front numeric
@attribute SD_left numeric
@attribute SD_right numeric
@attribute SD_back numeric
@attribute Class {MoveForward, SlightRightTurn, SharpRightTurn, SlightLeftTurn}

@data
0.819,0.772,1.450,0.796,SharpRightTurn
0.806,0.781,1.440,0.804,SharpRightTurn
0.800,0.780,1.439,0.804,SharpRightTurn
0.801,0.779,1.441,0.802,SharpRightTurn
0.802,0.777,1.445,0.800,SharpRightTurn
0.802,0.777,1.443,0.799,SharpRightTurn
0.801,0.778,1.443,0.799,SharpRightTurn
0.800,0.778,1.443,0.801,SharpRightTurn
0.800,0.777,1.443,0.800,SharpRightTurn
0.799,0.778,1.447,0.803,SharpRightTurn
0.799,0.780,1.447,5.000,SharpRightTurn
0.799,0.778,1.445,5.000,SharpRightTurn
0.798,0.781,1.448,0.799,SharpRightTurn
0.797,0.781,1.448,0.859,SharpRightTurn
0.796,0.781,1.449,0.791,SharpRightTurn
0.795,0.782,1.453,0.789,SharpRightTurn
0.795,0.786,1.459,0.790,SharpRightTurn
0.794,0.789,1.458,0.785,SharpRightTurn
0.793,0.796,1.464,0.781,SharpRightTurn
0.796,0.793,1.464,0.781,SharpRightTurn
0.796,0.827,1.468,0.780,SharpRightTurn
0.796,0.826,1.466,0.779,SharpRightTurn
0.799,0.824,1.471,0.778,SharpRightTurn
0.803,0.793,1.462,0.772,SharpRightTurn
0.810,0.819,1.463,0.770,SharpRightTurn
0.798,0.816,1.465,0.768,SharpRightTurn
0.795,0.813,1.467,0.767,SharpRightTurn
0.794,0.808,1.470,0.765,SharpRightTurn
0.794,0.808,1.475,0.767,SharpRightTurn
0.797,0.806,1.484,0.762,SharpRightTurn
0.800,0.809,1.494,0.757,SharpRightTurn
0.801,0.792,3.000,0.755,SharpRightTurn
0.821,0.789,2.926,0.753,SharpRightTurn
1.463,0.783,2.927,0.751,MoveForward
1.461,0.780,2.925,0.750,MoveForward
1.466,0.777,1.521,0.748,MoveForward
1.467,0.775,1.531,0.747,MoveForward
1.466,0.774,1.569,0.748,MoveForward
1.462,0.772,1.523,0.752,MoveForward
1.456,0.771,1.516,0.757,MoveForward
1.448,0.768,1.504,0.766,MoveForward
1.437,0.763,1.494,0.776,MoveForward
1.425,0.757,1.481,0.789,MoveForward
1.411,0.751,1.468,0.803,MoveForward
1.395,0.745,1.453,0.818,MoveForward
1.379,0.738,1.437,0.834,MoveForward
1.362,0.732,1.417,0.850,MoveForward
1.345,0.725,1.413,0.867,MoveForward
1.328,0.717,2.986,0.885,MoveForward
1.309,0.710,2.990,0.903,MoveForward
1.291,0.703,2.991,0.921,MoveForward
1.273,0.696,2.995,0.940,MoveForward
1.257,0.689,2.999,0.958,MoveForward
1.235,0.682,3.009,0.977,MoveForward
1.216,0.675,3.016,0.996,MoveForward
1.196,0.668,3.027,1.015,MoveForward
1.177,0.661,3.034,1.033,MoveForward
1.159,0.654,3.043,1.052,MoveForward
1.140,0.647,3.047,1.070,MoveForward
1.122,0.640,3.060,1.089,MoveForward
1.103,0.633,3.022,1.107,MoveForward
1.085,0.626,1.146,1.125,MoveForward
1.066,0.619,1.131,1.144,MoveForward
1.046,0.612,1.108,1.163,MoveForward
1.027,0.604,1.089,1.182,MoveForward
1.009,0.597,1.074,1.200,MoveForward
0.990,0.590,3.120,1.219,MoveForward
0.971,0.583,1.036,1.237,MoveForward
0.775,0.576,3.133,1.256,SharpRightTurn
0.759,0.569,3.139,1.275,SharpRightTurn
0.712,0.562,0.976,1.293,SharpRightTurn
0.689,0.554,3.141,1.311,SharpRightTurn
0.674,0.547,3.160,1.329,SharpRightTurn
0.656,0.540,0.926,1.346,SharpRightTurn
0.655,0.534,0.914,1.359,SharpRightTurn
0.847,0.533,1.160,1.362,SharpRightTurn
0.850,0.535,3.169,1.359,SharpRightTurn
0.852,0.531,3.177,1.357,SharpRightTurn
0.853,0.531,3.177,1.357,SharpRightTurn
0.853,0.527,3.178,1.357,SharpRightTurn
0.852,0.526,3.175,1.358,SharpRightTurn
0.852,0.525,3.176,1.358,SharpRightTurn
0.584,0.524,3.180,1.358,SharpRightTurn
0.582,0.523,3.172,1.358,SharpRightTurn
0.582,0.522,3.173,1.357,SharpRightTurn
0.852,0.521,3.174,1.357,SharpRightTurn
0.582,0.520,2.564,1.357,SharpRightTurn
0.583,0.520,3.168,1.356,SharpRightTurn
0.850,0.519,2.567,1.355,SharpRightTurn
0.849,0.518,3.166,1.355,SharpRightTurn
0.849,0.517,3.169,1.355,SharpRightTurn
0.850,0.517,3.180,1.355,SharpRightTurn
0.850,0.516,3.182,1.354,SharpRightTurn
0.851,0.515,3.172,1.353,SharpRightTurn
0.851,0.513,3.169,1.352,SharpRightTurn
0.852,0.512,3.170,1.352,SharpRightTurn
0.855,0.510,2.565,1.352,SharpRightTurn
0.857,0.509,2.573,1.352,SharpRightTurn
0.858,0.508,2.561,1.355,SharpRightTurn
0.858,0.507,2.559,1.355,SharpRightTurn
0.602,0.504,2.560,1.355,SharpRightTurn
0.854,0.501,2.561,1.358,SharpRightTurn
0.854,0.498,2.562,1.367,SharpRightTurn
0.854,0.496,2.561,1.361,SharpRightTurn
0.854,0.494,2.566,1.359,SharpRightTurn
0.857,0.492,2.568,1.360,SharpRightTurn
0.858,0.490,1.443,1.362,SharpRightTurn
0.857,0.488,1.440,0.582,SharpRightTurn
0.856,0.486,2.576,1.374,SharpRightTurn
0.855,0.483,1.430,1.405,SharpRightTurn
0.851,0.480,1.417,0.798,SharpRightTurn
0.850,0.477,1.411,0.793,SharpRightTurn
0.852,0.475,1.415,0.546,SharpRightTurn
0.851,0.473,1.413,0.534,SharpRightTurn
0.851,0.471,1.415,0.532,SharpRightTurn
0.851,0.470,1.444,0.523,SharpRightTurn
0.854,0.468,1.441,0.515,SharpRightTurn
0.852,0.467,1.438,0.540,SharpRightTurn
0.847,0.469,1.432,0.505,SharpRightTurn
0.845,0.470,1.420,0.501,SharpRightTurn
0.841,0.466,1.394,0.499,SharpRightTurn
0.839,0.465,1.396,0.489,SharpRightTurn
0.841,0.464,1.393,0.482,SharpRightTurn
0.840,0.463,1.415,0.507,SharpRightTurn
0.839,0.467,1.414,0.491,SharpRightTurn
0.838,0.480,1.422,0.467,SharpRightTurn
5.000,0.506,1.391,0.464,MoveForward
5.000,0.575,1.389,0.459,MoveForward
5.000,0.475,1.386,0.457,SlightRightTurn
5.000,0.476,1.387,0.458,SlightRightTurn
0.939,0.565,1.387,0.459,MoveForward
5.000,0.569,1.390,0.460,MoveForward
5.000,0.569,1.391,0.461,MoveForward
5.000,0.569,1.391,0.461,MoveForward
5.000,0.566,1.392,0.462,MoveForward
5.000,0.483,1.396,0.466,SlightRightTurn
5.000,0.573,1.401,0.472,MoveForward
5.000,0.573,1.409,0.480,MoveForward
0.816,0.506,1.414,0.488,SharpRightTurn
0.806,0.516,1.423,0.498,SharpRightTurn
0.794,0.528,1.432,0.509,SharpRightTurn
0.784,0.540,1.443,0.521,SharpRightTurn
0.772,0.552,1.452,0.532,SharpRightTurn
0.764,0.565,1.461,0.541,SharpRightTurn
0.756,0.606,1.469,0.549,SharpRightTurn
0.752,0.772,1.473,0.553,SharpRightTurn
0.753,0.993,1.472,0.550,SharpRightTurn
0.758,0.992,1.471,0.548,SharpRightTurn
0.758,0.595,1.473,0.546,SharpRightTurn
0.758,0.991,1.485,0.546,SharpRightTurn
0.758,0.597,1.483,0.546,SharpRightTurn
0.758,0.594,1.482,0.549,SharpRightTurn
0.761,0.986,1.480,0.565,SharpRightTurn
0.774,0.988,1.477,0.545,SharpRightTurn
0.777,0.762,1.476,0.541,SharpRightTurn
3.163,0.589,1.474,0.540,MoveForward
3.163,0.587,1.472,0.539,MoveForward
3.164,0.589,1.473,0.537,MoveForward
3.163,0.597,1.474,0.537,MoveForward
3.162,0.598,1.475,0.538,MoveForward
3.158,0.598,1.476,0.542,MoveForward
3.151,0.604,1.480,0.549,MoveForward
3.142,0.613,1.484,0.557,MoveForward
3.131,0.627,1.490,0.568,MoveForward
3.118,0.722,1.497,0.581,MoveForward
3.104,0.715,1.505,0.595,MoveForward
3.088,0.708,1.513,0.609,MoveForward
3.072,0.700,1.522,0.625,MoveForward
3.055,0.692,1.529,0.642,MoveForward
3.037,0.684,1.538,0.659,MoveForward
3.019,0.675,1.547,0.678,MoveForward
3.000,0.667,1.557,0.696,MoveForward
2.982,0.658,1.566,0.714,MoveForward
2.964,0.649,1.575,0.732,MoveForward
2.945,0.641,1.584,0.750,MoveForward
2.928,0.632,1.594,0.767,MoveForward
2.910,0.624,1.602,0.785,MoveForward
0.808,0.616,1.612,0.803,SharpRightTurn
0.789,0.609,1.620,0.821,SharpRightTurn
0.758,0.601,1.629,0.838,SharpRightTurn
0.759,0.593,1.638,0.856,SharpRightTurn
0.747,0.586,1.646,0.873,SharpRightTurn
2.801,0.621,1.654,0.888,MoveForward
2.786,0.611,1.661,0.903,MoveForward
2.776,0.605,1.667,0.915,MoveForward
2.769,0.603,1.672,0.923,MoveForward
2.765,0.598,1.674,0.925,MoveForward
2.769,0.599,1.673,0.924,MoveForward
2.766,0.600,1.672,0.925,MoveForward
2.764,0.600,1.672,0.927,MoveForward
2.763,0.599,1.673,0.928,MoveForward
2.761,0.598,1.674,0.929,MoveForward
2.758,0.597,1.675,0.931,MoveForward
2.753,0.595,1.677,0.936,MoveForward
2.745,0.592,1.681,0.944,MoveForward
2.734,0.578,1.689,0.954,MoveForward
2.722,0.583,1.695,0.966,MoveForward
2.708,0.574,1.698,0.979,MoveForward
2.693,0.551,1.705,0.994,MoveForward
2.678,0.551,1.712,1.010,MoveForward
2.661,0.558,1.720,1.026,MoveForward
2.644,0.550,1.728,1.043,MoveForward
2.626,0.546,1.736,1.061,MoveForward
2.608,0.536,1.744,1.078,MoveForward
2.589,0.528,1.753,1.097,MoveForward
2.570,0.521,1.762,1.116,MoveForward
2.550,0.513,1.770,1.135,MoveForward
2.531,0.505,1.779,1.155,MoveForward
2.511,0.498,1.788,1.175,MoveForward
2.491,0.490,1.797,1.194,SlightRightTurn
2.472,0.482,1.807,1.214,SlightRightTurn
2.452,0.474,1.816,1.233,SlightRightTurn
2.433,0.466,1.825,1.255,SlightRightTurn
2.415,0.457,1.834,1.272,SlightRightTurn
2.397,0.450,1.842,1.287,SlightRightTurn
2.380,0.443,1.851,1.304,SlightRightTurn
2.363,0.436,1.859,1.321,SlightRightTurn
2.348,0.430,1.866,1.336,SlightRightTurn
2.333,0.427,1.873,1.350,SlightRightTurn
2.319,0.425,1.880,1.364,SlightRightTurn
2.307,0.437,1.886,1.376,SlightRightTurn
1.793,0.426,1.892,1.387,SlightRightTurn
1.780,0.418,1.897,1.397,SlightRightTurn
1.768,0.426,1.902,1.406,SlightRightTurn
1.757,0.403,1.906,1.415,SlightRightTurn
1.749,0.397,1.911,1.423,SlightRightTurn
1.745,0.394,1.915,1.431,SlightRightTurn
2.243,0.392,1.919,1.438,SlightRightTurn
2.236,0.390,1.924,1.446,SlightRightTurn
2.229,0.388,1.927,1.453,SlightRightTurn
2.222,0.386,1.931,1.460,SlightRightTurn
2.218,0.387,1.935,1.467,SlightRightTurn
2.212,0.388,1.939,1.474,SlightRightTurn
2.205,0.387,1.943,1.481,SlightRightTurn
2.199,0.504,1.948,1.489,MoveForward
2.192,0.432,1.952,1.496,SlightRightTurn
2.185,0.381,1.959,1.503,SlightRightTurn
2.177,0.380,1.963,1.511,SlightRightTurn
2.165,0.376,1.963,1.519,SlightRightTurn
2.156,0.379,1.967,1.527,SlightRightTurn
2.147,0.428,1.970,1.536,SlightRightTurn
2.137,0.420,1.973,1.545,SlightRightTurn
2.127,0.422,1.976,1.554,SlightRightTurn
2.116,0.452,1.979,1.565,SlightRightTurn
2.105,0.426,1.982,1.576,SlightRightTurn
2.094,0.388,1.984,1.586,SlightRightTurn
2.083,0.390,1.986,1.597,SlightRightTurn
2.072,0.427,1.989,1.608,SlightRightTurn
2.062,0.401,1.991,1.618,SlightRightTurn
2.051,1.407,1.993,1.630,SlightLeftTurn
2.040,1.401,1.996,1.642,SlightLeftTurn
2.028,1.399,1.998,1.654,SlightLeftTurn
2.015,1.400,2.000,1.667,SlightLeftTurn
2.002,1.399,2.001,1.680,SlightLeftTurn
1.988,1.395,2.002,1.195,SlightLeftTurn
1.973,1.391,2.002,1.708,SlightLeftTurn
1.958,1.391,2.003,1.722,SlightLeftTurn
1.943,1.390,2.003,1.232,SlightLeftTurn
1.928,1.387,1.988,1.752,SlightLeftTurn
1.912,1.386,2.005,1.767,SlightLeftTurn
1.897,1.386,2.006,1.272,SlightLeftTurn
1.882,1.382,2.007,1.283,SlightLeftTurn
1.867,1.381,2.008,1.812,SlightLeftTurn
1.852,1.381,2.009,1.827,SlightLeftTurn
1.838,1.381,1.950,1.841,SlightLeftTurn
1.824,1.381,1.947,1.856,SlightLeftTurn
1.811,1.384,1.937,1.870,SlightLeftTurn
1.799,1.383,1.875,1.883,SlightLeftTurn
1.787,1.386,1.858,1.895,SlightLeftTurn
1.680,1.417,1.832,1.907,SlightLeftTurn
1.671,1.384,1.795,1.920,SlightLeftTurn
1.745,1.380,1.776,1.933,SlightLeftTurn
1.601,1.379,1.783,1.946,SlightLeftTurn
1.599,1.380,1.770,1.959,SlightLeftTurn
1.605,0.621,1.894,1.972,MoveForward
1.395,0.622,1.715,1.985,MoveForward
1.385,0.629,1.701,2.001,MoveForward
1.369,0.639,1.684,2.022,MoveForward
1.360,0.720,1.672,2.026,MoveForward
1.399,0.744,1.660,2.036,MoveForward
1.408,0.751,1.655,2.051,MoveForward
1.372,0.764,1.636,2.064,MoveForward
1.327,0.889,1.620,2.082,MoveForward
1.317,0.900,1.603,2.097,MoveForward
1.308,0.923,1.590,2.114,SlightLeftTurn
1.291,0.937,1.576,2.144,SlightLeftTurn
1.277,2.127,1.561,2.192,SlightLeftTurn
1.263,2.140,1.547,2.196,SlightLeftTurn
1.249,2.153,1.533,2.202,SlightLeftTurn
1.235,2.165,1.523,2.193,SlightLeftTurn
1.221,2.177,1.511,2.200,SlightLeftTurn
1.208,2.191,1.499,2.213,SlightLeftTurn
1.195,2.202,1.488,2.228,SlightLeftTurn
1.183,2.213,1.481,2.268,SlightLeftTurn
1.170,2.222,1.472,2.279,SlightLeftTurn
1.158,2.228,1.463,2.287,SlightLeftTurn
1.149,2.234,1.451,2.300,SlightLeftTurn
1.137,2.243,1.442,3.285,SlightLeftTurn
1.128,2.251,1.432,3.306,SlightLeftTurn
1.117,2.255,1.424,3.320,SlightLeftTurn
1.104,2.263,1.416,3.327,SlightLeftTurn
1.091,2.271,1.408,2.357,SlightLeftTurn
1.078,2.278,1.401,3.355,SlightLeftTurn
1.061,0.785,1.394,3.366,MoveForward
1.045,0.786,1.387,3.383,MoveForward
1.033,0.784,1.381,2.360,MoveForward
1.020,0.755,1.375,2.368,MoveForward
1.008,0.758,1.370,2.390,MoveForward
1.001,0.762,1.369,2.397,MoveForward
0.988,0.762,1.364,2.407,MoveForward
0.974,0.765,1.359,2.449,MoveForward
0.959,0.769,1.353,2.479,MoveForward
0.942,0.769,1.348,2.495,MoveForward
0.921,0.773,1.343,2.474,MoveForward
0.902,0.776,1.338,2.528,MoveForward
0.882,0.780,1.330,2.547,SharpRightTurn
0.863,0.781,1.326,2.566,SharpRightTurn
0.843,0.785,1.322,2.582,SharpRightTurn
0.823,0.789,1.319,2.603,SharpRightTurn
0.803,0.789,1.316,2.623,SharpRightTurn
0.785,0.792,1.313,2.637,SharpRightTurn
0.773,0.797,1.313,2.653,SharpRightTurn
0.770,0.795,1.318,2.656,SharpRightTurn
0.773,0.794,1.320,2.656,SharpRightTurn
0.776,0.793,1.321,2.654,SharpRightTurn
0.778,0.793,1.321,2.656,SharpRightTurn
0.778,0.793,1.322,2.652,SharpRightTurn
0.777,0.792,1.322,2.650,SharpRightTurn
0.777,0.793,1.322,2.654,SharpRightTurn
0.777,0.792,1.323,2.659,SharpRightTurn
0.778,0.792,1.323,3.632,SharpRightTurn
0.778,0.793,1.324,3.631,SharpRightTurn
0.778,0.792,1.325,3.631,SharpRightTurn
0.780,0.788,1.325,3.630,SharpRightTurn
0.780,0.788,1.326,3.630,SharpRightTurn
0.780,0.787,1.326,3.629,SharpRightTurn
0.780,0.786,1.327,3.625,SharpRightTurn
0.780,0.785,1.324,3.624,SharpRightTurn
0.780,0.784,1.325,3.623,SharpRightTurn
0.782,0.783,1.325,3.623,SharpRightTurn
0.782,0.779,1.326,3.622,SharpRightTurn
0.780,0.778,1.327,3.622,SharpRightTurn
0.777,0.776,1.328,3.618,SharpRightTurn
0.776,0.778,1.330,3.620,SharpRightTurn
0.776,0.776,1.332,3.623,SharpRightTurn
0.775,0.775,1.334,3.633,SharpRightTurn
0.775,0.773,1.336,3.620,SharpRightTurn
0.778,0.776,1.339,3.619,SharpRightTurn
0.778,0.798,1.344,3.621,SharpRightTurn
0.776,0.785,1.347,3.620,SharpRightTurn
0.772,0.777,1.345,3.616,SharpRightTurn
0.771,0.776,1.347,3.615,SharpRightTurn
0.770,0.772,1.348,3.615,SharpRightTurn
0.768,0.768,1.350,3.618,SharpRightTurn
0.767,0.770,1.352,3.625,SharpRightTurn
0.766,0.856,1.355,3.619,SharpRightTurn
0.765,0.820,1.358,3.672,SharpRightTurn
0.768,0.817,1.360,0.773,SharpRightTurn
0.767,0.799,1.369,0.763,SharpRightTurn
0.767,0.791,1.378,0.756,SharpRightTurn
0.827,0.789,1.389,0.754,SharpRightTurn
0.789,0.840,1.378,0.754,SharpRightTurn
0.765,0.791,1.378,0.813,SharpRightTurn
0.765,0.781,1.384,0.745,SharpRightTurn
0.768,0.832,1.387,0.743,SharpRightTurn
0.771,0.768,1.928,0.737,SharpRightTurn
0.781,0.762,1.413,0.736,SharpRightTurn
0.851,0.755,1.419,0.734,SharpRightTurn
0.847,0.753,1.423,0.733,SharpRightTurn
0.870,0.750,1.426,0.732,SharpRightTurn
0.904,0.751,1.413,0.731,MoveForward
0.900,0.748,1.411,0.730,SharpRightTurn
1.380,0.758,1.417,0.730,MoveForward
1.384,0.738,1.448,0.730,MoveForward
1.384,0.734,1.448,0.734,MoveForward
1.384,0.737,1.445,0.730,MoveForward
1.380,0.735,1.440,0.731,MoveForward
1.379,0.741,1.441,0.732,MoveForward
1.381,0.737,1.440,0.733,MoveForward
1.378,0.737,1.438,0.735,MoveForward
1.370,0.735,1.433,0.740,MoveForward
1.365,0.733,1.425,0.752,MoveForward
1.350,0.729,1.414,0.760,MoveForward
1.340,0.723,1.408,0.774,MoveForward
1.326,0.722,1.918,0.792,MoveForward
1.306,0.719,1.909,0.808,MoveForward
1.293,0.713,1.900,0.824,MoveForward
1.275,0.714,1.340,0.842,MoveForward
1.257,0.715,1.321,0.860,MoveForward
1.238,0.707,1.869,0.879,MoveForward
1.220,0.697,1.288,0.897,MoveForward
1.202,0.704,1.270,0.915,MoveForward
1.183,0.692,1.577,0.934,MoveForward
1.163,0.698,1.556,0.953,MoveForward
1.144,0.673,1.560,0.973,MoveForward
1.124,0.670,1.806,0.992,MoveForward
1.104,0.664,1.790,1.012,MoveForward
1.084,0.648,1.149,1.032,MoveForward
0.927,0.649,1.132,1.048,MoveForward
0.899,0.638,1.773,1.070,SharpRightTurn
0.879,0.635,1.764,1.090,SharpRightTurn
0.862,0.629,1.757,1.109,SharpRightTurn
0.845,0.615,1.054,1.128,SharpRightTurn
0.829,0.609,1.035,1.147,SharpRightTurn
0.813,0.602,1.015,1.165,SharpRightTurn
0.800,0.608,1.731,1.180,SharpRightTurn
0.794,0.587,1.726,1.190,SharpRightTurn
0.809,0.580,1.728,1.190,SharpRightTurn
0.922,0.583,1.732,1.188,MoveForward
0.923,0.579,1.733,1.187,MoveForward
0.923,0.580,1.733,1.186,MoveForward
0.923,0.580,1.733,1.187,MoveForward
0.921,0.579,1.732,1.188,MoveForward
0.918,0.578,1.731,1.191,MoveForward
0.914,0.577,1.730,1.196,MoveForward
0.907,0.575,1.724,1.202,MoveForward
0.898,0.573,1.717,1.211,SharpRightTurn
0.887,0.570,1.712,1.223,SharpRightTurn
0.873,0.566,1.710,1.236,SharpRightTurn
0.859,0.563,1.701,1.250,SharpRightTurn
0.845,0.558,1.696,1.263,SharpRightTurn
0.833,0.554,1.698,1.275,SharpRightTurn
0.821,0.551,1.695,1.284,SharpRightTurn
0.811,0.548,1.688,1.297,SharpRightTurn
0.805,0.541,1.687,1.299,SharpRightTurn
0.805,0.537,1.690,1.299,SharpRightTurn
0.807,0.536,1.692,1.297,SharpRightTurn
0.808,0.536,1.693,1.299,SharpRightTurn
0.808,0.536,1.693,1.296,SharpRightTurn
0.808,0.535,1.694,1.296,SharpRightTurn
0.808,0.534,1.694,1.296,SharpRightTurn
0.809,0.533,1.695,1.299,SharpRightTurn
0.809,0.529,0.877,1.298,SharpRightTurn
0.810,0.529,1.701,1.298,SharpRightTurn
0.810,0.528,1.703,1.298,SharpRightTurn
0.811,0.528,1.704,1.298,SharpRightTurn
0.811,0.526,0.883,1.298,SharpRightTurn
0.812,0.528,1.583,1.299,SharpRightTurn
0.812,0.527,1.557,1.303,SharpRightTurn
0.811,0.527,1.695,1.303,SharpRightTurn
0.811,0.525,1.697,5.000,SharpRightTurn
0.810,0.530,1.698,5.000,SharpRightTurn
0.809,0.523,1.703,1.309,SharpRightTurn
0.809,0.517,1.711,1.305,SharpRightTurn
0.808,0.512,1.716,1.307,SharpRightTurn
0.808,0.509,1.715,1.312,SharpRightTurn
0.808,0.510,1.726,1.317,SharpRightTurn
0.807,0.509,2.445,5.000,SharpRightTurn
0.806,0.511,2.040,5.000,SharpRightTurn
0.805,0.516,2.433,5.000,SharpRightTurn
0.803,0.514,2.450,5.000,SharpRightTurn
0.803,0.503,2.455,5.000,SharpRightTurn
0.802,0.498,2.457,5.000,SharpRightTurn
0.802,0.492,2.459,4.752,SharpRightTurn
0.802,0.490,2.464,4.764,SharpRightTurn
0.805,0.491,2.491,0.553,SharpRightTurn
0.804,0.490,2.635,0.544,SharpRightTurn
0.798,0.513,2.913,0.539,SharpRightTurn
0.797,0.591,2.986,0.537,SharpRightTurn
0.795,0.515,2.915,0.569,SharpRightTurn
0.794,0.487,2.914,0.557,SharpRightTurn
0.793,0.486,2.916,0.523,SharpRightTurn
0.792,0.486,2.919,0.542,SharpRightTurn
0.791,0.854,2.922,0.562,SharpRightTurn
0.794,0.833,2.925,0.508,SharpRightTurn
0.793,0.822,1.338,0.498,SharpRightTurn
0.831,0.644,1.334,0.492,SharpRightTurn
0.820,0.631,1.332,0.488,SharpRightTurn
0.792,0.625,1.332,0.485,SharpRightTurn
0.792,0.622,4.825,0.488,SharpRightTurn
0.795,0.624,1.343,0.472,SharpRightTurn
0.798,0.502,1.352,0.473,SharpRightTurn
0.801,0.503,1.336,0.474,SharpRightTurn
0.815,0.511,1.334,0.462,SharpRightTurn
0.945,0.513,1.335,0.456,MoveForward
0.944,0.777,1.336,0.451,MoveForward
1.738,0.774,1.335,0.450,MoveForward
1.738,0.772,1.340,0.449,MoveForward
1.737,0.774,1.341,0.450,MoveForward
1.735,0.774,1.341,0.452,MoveForward
1.735,0.774,1.341,0.453,MoveForward
1.733,0.773,1.342,0.454,MoveForward
1.731,0.769,1.343,0.456,MoveForward
1.726,0.767,1.345,0.460,MoveForward
1.719,0.764,1.348,0.467,MoveForward
1.709,0.760,1.351,0.477,MoveForward
1.696,0.757,1.356,0.488,MoveForward
1.682,0.751,1.361,0.502,MoveForward
0.940,0.746,1.366,0.516,MoveForward
0.926,0.740,1.372,0.532,MoveForward
0.908,0.732,1.379,0.549,MoveForward
0.899,0.726,1.386,0.566,SharpRightTurn
0.878,0.718,1.393,0.583,SharpRightTurn
0.866,0.711,1.400,0.601,SharpRightTurn
1.558,0.704,1.409,0.619,MoveForward
0.845,0.697,1.415,0.636,SharpRightTurn
0.832,0.690,1.421,0.652,SharpRightTurn
0.902,0.684,1.427,0.667,MoveForward
0.806,0.682,1.433,0.681,SharpRightTurn
1.483,0.676,1.434,0.693,MoveForward
1.477,0.672,1.440,0.700,MoveForward
1.476,0.672,1.442,0.700,MoveForward
1.476,0.674,1.443,0.700,MoveForward
1.474,0.670,1.440,0.702,MoveForward
1.472,0.670,1.443,0.704,MoveForward
1.470,0.669,1.445,0.706,MoveForward
1.468,0.668,1.445,0.708,MoveForward
0.851,0.670,1.444,0.710,SharpRightTurn
1.465,0.667,1.444,0.711,MoveForward
0.848,0.667,1.448,0.713,SharpRightTurn
1.463,0.672,1.448,0.714,MoveForward
1.462,0.671,1.448,0.714,MoveForward
1.460,0.670,1.449,0.716,MoveForward
1.458,0.665,1.450,0.717,MoveForward
1.457,0.664,1.451,0.718,MoveForward
1.455,0.664,1.451,0.720,MoveForward
1.453,0.663,1.452,0.722,MoveForward
1.452,0.666,1.452,0.724,MoveForward
1.449,0.659,1.450,0.726,MoveForward
0.900,0.661,1.453,0.729,SharpRightTurn
0.898,0.664,1.426,0.731,SharpRightTurn
0.894,0.659,1.456,0.736,SharpRightTurn
1.432,0.653,1.458,0.743,MoveForward
1.425,0.650,1.461,0.749,MoveForward
1.415,0.644,1.467,0.756,MoveForward
1.408,0.641,1.473,0.762,MoveForward
1.400,0.638,1.485,0.769,MoveForward
1.391,0.635,1.476,0.778,MoveForward
1.379,0.631,1.482,0.789,MoveForward
1.366,0.627,1.489,0.802,MoveForward
1.352,0.623,1.506,0.817,MoveForward
1.336,0.619,1.540,0.832,MoveForward
1.322,0.614,1.545,0.850,MoveForward
1.305,0.610,1.550,0.868,MoveForward
1.288,0.605,1.557,0.886,MoveForward
1.270,0.601,1.559,0.905,MoveForward
1.252,0.597,1.567,0.924,MoveForward
1.234,0.593,1.573,0.944,MoveForward
1.215,0.589,1.579,0.963,MoveForward
1.197,0.584,1.581,0.983,MoveForward
1.182,0.579,1.590,1.003,MoveForward
1.164,0.575,1.592,1.023,MoveForward
1.146,0.571,1.601,1.042,MoveForward
1.128,0.566,1.603,1.062,MoveForward
1.111,0.562,1.610,1.082,MoveForward
1.097,0.558,1.616,1.101,MoveForward
1.080,0.554,1.626,1.121,MoveForward
1.066,0.550,3.131,1.140,MoveForward
1.048,0.543,1.642,1.160,MoveForward
1.030,0.539,1.713,1.180,MoveForward
1.009,0.536,1.717,1.200,MoveForward
0.988,0.533,1.705,1.220,MoveForward
0.971,0.530,1.710,1.239,MoveForward
0.954,0.528,1.692,1.258,MoveForward
0.935,0.525,1.683,1.277,MoveForward
0.919,0.523,1.691,1.297,MoveForward
0.899,0.520,1.696,1.316,SharpRightTurn
0.882,0.518,1.704,1.337,SharpRightTurn
0.865,0.515,1.713,1.357,SharpRightTurn
0.848,0.513,1.734,1.377,SharpRightTurn
0.833,0.510,1.740,1.397,SharpRightTurn
0.818,0.507,3.176,1.415,SharpRightTurn
0.806,0.505,1.755,1.430,SharpRightTurn
0.803,0.502,3.179,1.435,SharpRightTurn
0.804,0.501,1.752,1.205,SharpRightTurn
0.806,0.501,1.749,1.196,SharpRightTurn
0.806,0.501,1.749,1.199,SharpRightTurn
0.806,0.501,1.749,1.203,SharpRightTurn
0.805,0.500,1.750,1.432,SharpRightTurn
0.805,0.500,1.750,1.432,SharpRightTurn
0.808,0.499,1.751,1.432,SharpRightTurn
0.809,0.499,1.764,1.435,SharpRightTurn
0.805,0.498,1.975,1.435,SharpRightTurn
0.808,0.497,1.965,1.432,SharpRightTurn
0.814,0.495,1.968,1.190,SharpRightTurn
1.074,0.493,1.962,1.186,SlightRightTurn
1.070,0.490,3.194,1.180,SlightRightTurn
1.069,0.489,3.195,1.172,SlightRightTurn
0.820,0.487,3.197,1.168,SharpRightTurn
1.473,0.485,1.773,1.167,SlightRightTurn
