@relation WallFollowingRobotNavigation_2

@attribute SD_front numeric
@attribute SD_left numeric
@attribute Class {MoveForward, SlightRightTurn, SharpRightTurn, SlightLeftTurn}

@data
0.769,0.791,SharpRightTurn
0.776,0.767,SharpRightTurn
0.831,0.761,SharpRightTurn
0.792,0.758,SharpRightTurn
0.854,0.755,SharpRightTurn
0.894,0.755,SharpRightTurn
1.182,0.752,MoveForward
0.892,0.746,SharpRightTurn
1.346,0.743,MoveForward
1.349,0.741,MoveForward
1.349,0.737,MoveForward
1.348,0.737,MoveForward
1.346,0.741,MoveForward
1.342,0.737,MoveForward
1.340,0.740,MoveForward
1.339,0.736,MoveForward
1.338,0.735,MoveForward
1.341,0.738,MoveForward
1.337,0.738,MoveForward
1.340,0.738,MoveForward
1.336,0.738,MoveForward
1.332,0.741,MoveForward
1.325,0.740,MoveForward
1.316,0.732,MoveForward
1.305,0.742,MoveForward
1.292,0.726,MoveForward
1.278,0.720,MoveForward
1.265,0.714,MoveForward
1.248,0.708,MoveForward
1.231,0.705,MoveForward
1.213,0.698,MoveForward
1.195,0.692,MoveForward
1.176,0.702,MoveForward
1.157,0.681,MoveForward
1.138,0.680,MoveForward
1.119,0.682,MoveForward
1.100,0.722,MoveForward
0.943,0.654,MoveForward
0.923,0.650,MoveForward
0.899,0.641,SharpRightTurn
0.881,0.669,SharpRightTurn
0.864,0.627,SharpRightTurn
0.847,0.623,SharpRightTurn
0.830,0.619,SharpRightTurn
0.816,0.613,SharpRightTurn
0.803,0.601,SharpRightTurn
0.818,0.589,SharpRightTurn
0.917,0.586,MoveForward
0.920,0.586,MoveForward
0.921,0.586,MoveForward
0.921,0.586,MoveForward
0.919,0.586,MoveForward
0.917,0.585,MoveForward
0.915,0.584,MoveForward
0.913,0.584,MoveForward
0.912,0.584,MoveForward
0.911,0.584,MoveForward
0.910,0.583,MoveForward
0.908,0.583,MoveForward
0.907,0.582,MoveForward
0.906,0.582,MoveForward
0.904,0.581,MoveForward
0.902,0.581,MoveForward
0.900,0.581,SharpRightTurn
0.899,0.581,SharpRightTurn
0.898,0.580,SharpRightTurn
0.897,0.580,SharpRightTurn
0.896,0.579,SharpRightTurn
0.895,0.579,SharpRightTurn
0.895,0.578,SharpRightTurn
0.895,0.578,SharpRightTurn
0.896,0.577,SharpRightTurn
0.896,0.576,SharpRightTurn
0.896,0.575,SharpRightTurn
0.896,0.574,SharpRightTurn
0.897,0.572,SharpRightTurn
0.897,0.570,SharpRightTurn
0.898,0.569,SharpRightTurn
0.899,0.567,SharpRightTurn
0.900,0.566,SharpRightTurn
0.899,0.564,SharpRightTurn
0.898,0.563,SharpRightTurn
0.897,0.560,SharpRightTurn
0.897,0.557,SharpRightTurn
0.896,0.555,SharpRightTurn
0.896,0.553,SharpRightTurn
0.896,0.551,SharpRightTurn
0.896,0.549,SharpRightTurn
0.896,0.548,SharpRightTurn
0.895,0.546,SharpRightTurn
0.894,0.544,SharpRightTurn
0.893,0.541,SharpRightTurn
0.892,0.538,SharpRightTurn
0.891,0.535,SharpRightTurn
0.891,0.533,SharpRightTurn
0.891,0.532,SharpRightTurn
0.894,0.530,SharpRightTurn
0.894,0.529,SharpRightTurn
0.892,0.530,SharpRightTurn
0.887,0.524,SharpRightTurn
0.886,0.526,SharpRightTurn
0.884,0.532,SharpRightTurn
0.882,0.531,SharpRightTurn
0.881,0.527,SharpRightTurn
0.880,0.527,SharpRightTurn
0.880,0.526,SharpRightTurn
0.879,0.526,SharpRightTurn
0.882,0.535,SharpRightTurn
0.881,0.914,SharpRightTurn
1.325,0.907,SlightLeftTurn
1.761,0.902,SlightLeftTurn
0.880,0.708,SharpRightTurn
0.879,0.699,SharpRightTurn
0.878,0.696,SharpRightTurn
0.878,0.697,SharpRightTurn
0.878,0.700,SharpRightTurn
0.878,0.695,SharpRightTurn
0.878,0.694,SharpRightTurn
0.881,0.693,SharpRightTurn
0.881,0.692,SharpRightTurn
0.887,0.691,SharpRightTurn
0.888,0.690,SharpRightTurn
0.891,0.692,SharpRightTurn
0.904,0.711,MoveForward
1.744,0.541,MoveForward
1.750,0.542,MoveForward
1.753,0.867,MoveForward
1.751,0.867,MoveForward
1.745,0.551,MoveForward
1.741,0.863,MoveForward
1.732,0.567,MoveForward
1.721,0.571,MoveForward
1.707,0.583,MoveForward
0.960,0.842,MoveForward
1.677,0.835,MoveForward
0.975,0.827,MoveForward
1.642,0.819,MoveForward
1.627,0.811,MoveForward
0.948,0.802,MoveForward
0.887,0.794,SharpRightTurn
0.923,0.714,MoveForward
0.866,0.774,SharpRightTurn
0.873,0.768,SharpRightTurn
0.851,0.759,SharpRightTurn
0.837,0.751,SharpRightTurn
0.824,0.742,SharpRightTurn
0.817,0.735,SharpRightTurn
1.459,0.725,MoveForward
0.863,0.722,SharpRightTurn
1.462,0.722,MoveForward
1.462,0.723,MoveForward
1.460,0.722,MoveForward
1.459,0.721,MoveForward
1.458,0.721,MoveForward
1.457,0.720,MoveForward
1.456,0.719,MoveForward
1.454,0.719,MoveForward
1.453,0.719,MoveForward
0.921,0.718,MoveForward
0.920,0.718,MoveForward
0.914,0.717,MoveForward
0.912,0.716,MoveForward
0.913,0.714,MoveForward
1.436,0.711,MoveForward
1.428,0.707,MoveForward
1.417,0.702,MoveForward
1.407,0.697,MoveForward
1.392,0.691,MoveForward
1.376,0.685,MoveForward
1.359,0.678,MoveForward
1.341,0.670,MoveForward
1.325,0.663,MoveForward
0.819,0.656,SharpRightTurn
1.284,0.649,MoveForward
1.264,0.641,MoveForward
1.247,0.633,MoveForward
1.225,0.625,MoveForward
1.205,0.617,MoveForward
1.187,0.610,MoveForward
1.166,0.602,MoveForward
1.149,0.595,MoveForward
1.132,0.589,MoveForward
1.115,0.582,MoveForward
1.098,0.575,MoveForward
1.078,0.568,MoveForward
1.064,0.562,MoveForward
0.733,0.555,SharpRightTurn
0.715,0.550,SharpRightTurn
1.010,0.543,MoveForward
0.992,0.540,MoveForward
0.689,0.530,SharpRightTurn
0.712,0.524,SharpRightTurn
0.692,0.516,SharpRightTurn
0.676,0.512,SharpRightTurn
0.651,0.515,SharpRightTurn
0.693,0.498,SharpRightTurn
0.712,0.496,SharpRightTurn
0.910,0.495,MoveForward
0.907,0.495,MoveForward
0.906,0.494,SlightRightTurn
0.905,0.494,SlightRightTurn
0.904,0.493,SlightRightTurn
0.900,0.491,SharpRightTurn
0.772,0.488,SharpRightTurn
0.766,0.486,SharpRightTurn
0.885,0.484,SharpRightTurn
0.878,0.482,SharpRightTurn
0.874,0.480,SharpRightTurn
0.866,0.478,SharpRightTurn
0.863,0.477,SharpRightTurn
0.860,0.476,SharpRightTurn
0.860,0.475,SharpRightTurn
0.859,0.474,SharpRightTurn
0.857,0.473,SharpRightTurn
0.856,0.472,SharpRightTurn
0.855,0.472,SharpRightTurn
0.852,0.471,SharpRightTurn
0.851,0.471,SharpRightTurn
0.848,0.469,SharpRightTurn
0.850,0.468,SharpRightTurn
0.846,0.466,SharpRightTurn
0.848,0.464,SharpRightTurn
0.851,0.461,SharpRightTurn
0.850,0.459,SharpRightTurn
0.853,0.457,SharpRightTurn
1.493,0.455,SlightRightTurn
1.492,0.453,SlightRightTurn
1.200,0.451,SlightRightTurn
1.199,0.449,SlightRightTurn
1.197,0.448,SlightRightTurn
1.196,0.448,SlightRightTurn
1.195,0.448,SlightRightTurn
1.195,0.448,SlightRightTurn
1.196,0.448,SlightRightTurn
1.195,0.448,SlightRightTurn
1.195,0.448,SlightRightTurn
1.194,0.448,SlightRightTurn
1.193,0.449,SlightRightTurn
1.191,0.449,SlightRightTurn
1.191,0.450,SlightRightTurn
1.190,0.451,SlightRightTurn
1.570,0.453,SlightRightTurn
1.206,0.454,SlightRightTurn
1.558,0.455,SlightRightTurn
1.549,0.456,SlightRightTurn
1.540,0.457,SlightRightTurn
1.534,0.459,SlightRightTurn
1.553,0.461,SlightRightTurn
1.540,0.463,SlightRightTurn
1.504,0.466,SlightRightTurn
1.493,0.468,SlightRightTurn
1.476,0.471,SlightRightTurn
1.467,0.474,SlightRightTurn
1.488,0.476,SlightRightTurn
1.463,0.479,SlightRightTurn
1.468,0.482,SlightRightTurn
1.459,0.485,SlightRightTurn
1.424,0.488,SlightRightTurn
1.414,0.491,SlightRightTurn
1.428,0.494,SlightRightTurn
1.418,0.498,MoveForward
1.380,0.502,MoveForward
1.370,0.505,MoveForward
1.360,0.509,MoveForward
1.347,0.513,MoveForward
1.338,0.519,MoveForward
1.325,0.525,MoveForward
1.310,0.532,MoveForward
1.295,0.540,MoveForward
1.279,0.548,MoveForward
1.297,0.556,MoveForward
1.284,0.564,MoveForward
1.270,0.574,MoveForward
1.257,0.582,MoveForward
1.374,0.591,MoveForward
1.364,0.601,MoveForward
1.351,0.610,MoveForward
1.341,0.619,MoveForward
1.329,0.628,MoveForward
1.319,0.638,MoveForward
1.310,0.647,MoveForward
1.301,0.657,MoveForward
1.292,0.666,MoveForward
1.511,0.676,MoveForward
1.495,0.685,MoveForward
1.476,0.698,MoveForward
1.451,0.705,MoveForward
1.434,0.715,MoveForward
1.419,0.724,MoveForward
0.940,0.727,MoveForward
0.917,0.730,MoveForward
0.897,0.736,SharpRightTurn
0.878,0.743,SharpRightTurn
0.862,0.750,SharpRightTurn
0.846,0.757,SharpRightTurn
0.831,0.765,SharpRightTurn
0.816,0.769,SharpRightTurn
0.804,0.779,SharpRightTurn
0.795,0.783,SharpRightTurn
0.794,0.782,SharpRightTurn
0.799,0.780,SharpRightTurn
0.799,0.780,SharpRightTurn
0.799,0.783,SharpRightTurn
0.799,0.782,SharpRightTurn
0.803,0.786,SharpRightTurn
1.257,0.785,MoveForward
1.257,0.788,MoveForward
1.264,0.811,MoveForward
1.273,0.807,MoveForward
1.415,0.812,MoveForward
1.275,0.817,MoveForward
1.273,0.820,MoveForward
1.400,0.828,MoveForward
1.389,0.802,MoveForward
1.223,0.806,MoveForward
1.362,0.814,MoveForward
1.190,0.827,MoveForward
1.172,0.837,MoveForward
1.156,0.850,MoveForward
1.137,0.868,MoveForward
1.122,0.875,MoveForward
1.106,0.900,MoveForward
1.086,0.899,MoveForward
1.070,0.904,SlightLeftTurn
1.052,0.904,SlightLeftTurn
1.036,0.908,SlightLeftTurn
1.018,0.908,SlightLeftTurn
1.001,0.906,SlightLeftTurn
0.983,0.910,SlightLeftTurn
0.967,0.946,SlightLeftTurn
0.954,0.988,SlightLeftTurn
0.938,0.911,SlightLeftTurn
0.922,0.909,SlightLeftTurn
0.907,0.911,SlightLeftTurn
0.892,0.912,SharpRightTurn
0.878,0.914,SharpRightTurn
0.861,0.919,SharpRightTurn
0.849,0.918,SharpRightTurn
0.837,0.920,SharpRightTurn
0.827,0.922,SharpRightTurn
0.825,0.921,SharpRightTurn
0.827,0.916,SharpRightTurn
0.829,0.914,SharpRightTurn
0.829,0.914,SharpRightTurn
0.829,0.914,SharpRightTurn
0.829,0.914,SharpRightTurn
0.828,0.913,SharpRightTurn
0.831,0.912,SharpRightTurn
0.831,0.911,SharpRightTurn
0.826,0.897,SharpRightTurn
0.825,0.897,SharpRightTurn
0.823,0.893,SharpRightTurn
0.821,0.888,SharpRightTurn
0.820,1.001,SharpRightTurn
0.819,0.904,SharpRightTurn
0.817,0.897,SharpRightTurn
0.816,0.499,SharpRightTurn
0.816,0.489,SharpRightTurn
0.815,0.484,SharpRightTurn
0.817,0.482,SharpRightTurn
0.858,0.483,SharpRightTurn
0.860,0.502,SharpRightTurn
0.818,0.837,SharpRightTurn
0.817,0.833,SharpRightTurn
0.817,0.482,SharpRightTurn
0.820,0.472,SharpRightTurn
0.827,0.469,SharpRightTurn
0.844,0.467,SharpRightTurn
0.917,0.468,SlightRightTurn
0.916,0.802,MoveForward
0.925,0.799,MoveForward
1.713,0.796,MoveForward
1.713,0.795,MoveForward
1.711,0.795,MoveForward
1.705,0.795,MoveForward
1.699,0.793,MoveForward
1.689,0.789,MoveForward
1.681,0.785,MoveForward
1.668,0.481,SlightRightTurn
1.653,0.476,SlightRightTurn
1.636,0.478,SlightRightTurn
1.616,0.484,SlightRightTurn
1.603,0.487,SlightRightTurn
1.586,0.497,MoveForward
1.571,0.507,MoveForward
1.556,0.736,MoveForward
1.552,0.731,MoveForward
1.555,0.726,MoveForward
2.482,0.720,MoveForward
2.468,0.714,MoveForward
2.453,0.709,MoveForward
2.437,0.577,MoveForward
2.421,0.571,MoveForward
2.404,0.580,MoveForward
2.386,0.598,MoveForward
2.371,0.604,MoveForward
2.352,0.616,MoveForward
2.334,0.629,MoveForward
2.315,0.642,MoveForward
2.296,0.648,MoveForward
2.277,0.641,MoveForward
2.258,0.634,MoveForward
2.240,0.626,MoveForward
2.221,0.621,MoveForward
2.002,0.616,MoveForward
1.985,0.606,MoveForward
1.965,0.601,MoveForward
1.944,0.591,MoveForward
1.924,0.585,MoveForward
1.900,0.580,MoveForward
1.880,0.571,MoveForward
1.098,0.565,MoveForward
1.076,0.558,MoveForward
1.054,0.552,MoveForward
1.032,0.545,MoveForward
1.007,0.539,MoveForward
0.991,0.534,MoveForward
0.969,0.528,MoveForward
0.950,0.518,MoveForward
0.932,0.514,MoveForward
0.913,0.505,MoveForward
0.896,0.501,SharpRightTurn
0.878,0.495,SharpRightTurn
0.861,0.488,SharpRightTurn
0.843,0.481,SharpRightTurn
0.826,0.475,SharpRightTurn
0.810,0.472,SharpRightTurn
1.553,0.466,SlightRightTurn
1.542,0.458,SlightRightTurn
1.543,0.453,SlightRightTurn
1.545,0.453,SlightRightTurn
1.544,0.453,SlightRightTurn
1.542,0.453,SlightRightTurn
1.541,0.452,SlightRightTurn
1.541,0.452,SlightRightTurn
1.540,0.452,SlightRightTurn
1.541,0.452,SlightRightTurn
1.541,0.452,SlightRightTurn
1.540,0.452,SlightRightTurn
1.540,0.452,SlightRightTurn
1.540,0.452,SlightRightTurn
1.539,0.451,SlightRightTurn
1.537,0.451,SlightRightTurn
0.504,0.449,SharpRightTurn
0.503,0.447,SharpRightTurn
0.501,0.445,SharpRightTurn
0.500,0.442,SharpRightTurn
0.495,0.439,SharpRightTurn
0.497,0.437,SharpRightTurn
0.496,0.435,SharpRightTurn
0.496,0.433,SharpRightTurn
0.747,0.432,SharpRightTurn
0.744,0.432,SharpRightTurn
0.745,0.432,SharpRightTurn
0.742,0.431,SharpRightTurn
0.742,0.431,SharpRightTurn
0.742,0.427,SharpRightTurn
0.741,0.426,SharpRightTurn
0.741,0.425,SharpRightTurn
0.738,0.427,SharpRightTurn
0.738,0.426,SharpRightTurn
0.738,0.426,SharpRightTurn
0.741,0.426,SharpRightTurn
0.740,0.425,SharpRightTurn
0.743,0.424,SharpRightTurn
1.493,0.423,SlightRightTurn
1.496,0.422,SlightRightTurn
1.732,0.420,SlightRightTurn
1.731,0.418,SlightRightTurn
1.731,0.418,SlightRightTurn
1.731,0.418,SlightRightTurn
1.732,0.418,SlightRightTurn
1.731,0.418,SlightRightTurn
1.731,0.418,SlightRightTurn
1.731,0.418,SlightRightTurn
1.731,0.418,SlightRightTurn
1.731,0.418,SlightRightTurn
1.731,0.418,SlightRightTurn
1.729,0.418,SlightRightTurn
1.726,0.418,SlightRightTurn
1.721,0.417,SlightRightTurn
1.714,0.417,SlightRightTurn
1.707,0.416,SlightRightTurn
1.698,0.416,SlightRightTurn
1.689,0.416,SlightRightTurn
1.679,0.416,SlightRightTurn
1.668,0.416,SlightRightTurn
1.657,0.416,SlightRightTurn
1.647,0.416,SlightRightTurn
1.636,0.417,SlightRightTurn
1.411,0.418,SlightRightTurn
1.615,0.420,SlightRightTurn
1.604,0.421,SlightRightTurn
1.594,0.422,SlightRightTurn
1.584,0.423,SlightRightTurn
1.360,0.425,SlightRightTurn
1.348,0.426,SlightRightTurn
1.340,0.428,SlightRightTurn
1.331,0.429,SlightRightTurn
1.323,0.431,SlightRightTurn
1.314,0.433,SlightRightTurn
1.305,0.435,SlightRightTurn
1.298,0.437,SlightRightTurn
1.289,0.439,SlightRightTurn
1.285,0.441,SlightRightTurn
1.473,0.443,SlightRightTurn
1.463,0.445,SlightRightTurn
1.452,0.447,SlightRightTurn
1.442,0.449,SlightRightTurn
1.432,0.451,SlightRightTurn
1.422,0.453,SlightRightTurn
1.411,0.455,SlightRightTurn
1.401,0.458,SlightRightTurn
1.391,0.460,SlightRightTurn
1.381,0.462,SlightRightTurn
1.371,0.465,SlightRightTurn
1.362,0.467,SlightRightTurn
1.352,0.469,SlightRightTurn
1.343,0.472,SlightRightTurn
1.333,0.474,SlightRightTurn
1.324,0.477,SlightRightTurn
1.314,0.480,SlightRightTurn
1.305,0.483,SlightRightTurn
1.295,0.486,SlightRightTurn
1.286,0.489,SlightRightTurn
1.277,0.493,SlightRightTurn
1.271,0.497,MoveForward
1.259,0.500,MoveForward
1.250,0.503,MoveForward
1.245,0.507,MoveForward
1.236,0.511,MoveForward
1.225,0.516,MoveForward
1.213,0.522,MoveForward
1.199,0.528,MoveForward
1.185,0.536,MoveForward
1.170,0.543,MoveForward
1.154,0.551,MoveForward
1.138,0.564,MoveForward
1.121,0.573,MoveForward
1.101,0.579,MoveForward
1.084,0.592,MoveForward
1.066,0.604,MoveForward
1.049,0.715,MoveForward
1.031,0.634,MoveForward
1.027,0.638,MoveForward
0.998,0.668,MoveForward
0.982,0.657,MoveForward
0.962,0.669,MoveForward
0.946,0.683,MoveForward
0.930,0.691,MoveForward
0.914,0.706,MoveForward
0.899,0.717,SharpRightTurn
0.883,0.725,SharpRightTurn
0.867,0.739,SharpRightTurn
0.851,0.750,SharpRightTurn
0.835,0.762,SharpRightTurn
0.819,0.772,SharpRightTurn
0.806,0.781,SharpRightTurn
0.800,0.780,SharpRightTurn
0.801,0.779,SharpRightTurn
0.802,0.777,SharpRightTurn
0.802,0.777,SharpRightTurn
0.801,0.778,SharpRightTurn
0.800,0.778,SharpRightTurn
0.800,0.777,SharpRightTurn
0.799,0.778,SharpRightTurn
0.799,0.780,SharpRightTurn
0.799,0.778,SharpRightTurn
0.798,0.781,SharpRightTurn
0.797,0.781,SharpRightTurn
0.796,0.781,SharpRightTurn
0.795,0.782,SharpRightTurn
0.795,0.786,SharpRightTurn
0.794,0.789,SharpRightTurn
0.793,0.796,SharpRightTurn
0.796,0.793,SharpRightTurn
0.796,0.827,SharpRightTurn
0.796,0.826,SharpRightTurn
0.799,0.824,SharpRightTurn
0.803,0.793,SharpRightTurn
0.810,0.819,SharpRightTurn
0.798,0.816,SharpRightTurn
0.795,0.813,SharpRightTurn
0.794,0.808,SharpRightTurn
0.794,0.808,SharpRightTurn
0.797,0.806,SharpRightTurn
0.800,0.809,SharpRightTurn
0.801,0.792,SharpRightTurn
0.821,0.789,SharpRightTurn
1.463,0.783,MoveForward
1.461,0.780,MoveForward
1.466,0.777,MoveForward
1.467,0.775,MoveForward
1.466,0.774,MoveForward
1.462,0.772,MoveForward
1.456,0.771,MoveForward
1.448,0.768,MoveForward
1.437,0.763,MoveForward
1.425,0.757,MoveForward
1.411,0.751,MoveForward
1.395,0.745,MoveForward
1.379,0.738,MoveForward
1.362,0.732,MoveForward
1.345,0.725,MoveForward
1.328,0.717,MoveForward
1.309,0.710,MoveForward
1.291,0.703,MoveForward
1.273,0.696,MoveForward
1.257,0.689,MoveForward
1.235,0.682,MoveForward
1.216,0.675,MoveForward
1.196,0.668,MoveForward
1.177,0.661,MoveForward
1.159,0.654,MoveForward
1.140,0.647,MoveForward
1.122,0.640,MoveForward
1.103,0.633,MoveForward
1.085,0.626,MoveForward
1.066,0.619,MoveForward
1.046,0.612,MoveForward
1.027,0.604,MoveForward
1.009,0.597,MoveForward
0.990,0.590,MoveForward
0.971,0.583,MoveForward
0.775,0.576,SharpRightTurn
0.759,0.569,SharpRightTurn
0.712,0.562,SharpRightTurn
0.689,0.554,SharpRightTurn
0.674,0.547,SharpRightTurn
0.656,0.540,SharpRightTurn
0.655,0.534,SharpRightTurn
0.847,0.533,SharpRightTurn
0.850,0.535,SharpRightTurn
0.852,0.531,SharpRightTurn
0.853,0.531,SharpRightTurn
0.853,0.527,SharpRightTurn
0.852,0.526,SharpRightTurn
0.852,0.525,SharpRightTurn
0.584,0.524,SharpRightTurn
0.582,0.523,SharpRightTurn
0.582,0.522,SharpRightTurn
0.852,0.521,SharpRightTurn
0.582,0.520,SharpRightTurn
0.583,0.520,SharpRightTurn
0.850,0.519,SharpRightTurn
0.849,0.518,SharpRightTurn
0.849,0.517,SharpRightTurn
0.850,0.517,SharpRightTurn
0.850,0.516,SharpRightTurn
0.851,0.515,SharpRightTurn
0.851,0.513,SharpRightTurn
0.852,0.512,SharpRightTurn
0.855,0.510,SharpRightTurn
0.857,0.509,SharpRightTurn
0.858,0.508,SharpRightTurn
0.858,0.507,SharpRightTurn
0.602,0.504,SharpRightTurn
0.854,0.501,SharpRightTurn
0.854,0.498,SharpRightTurn
0.854,0.496,SharpRightTurn
0.854,0.494,SharpRightTurn
0.857,0.492,SharpRightTurn
0.858,0.490,SharpRightTurn
0.857,0.488,SharpRightTurn
0.856,0.486,SharpRightTurn
0.855,0.483,SharpRightTurn
0.851,0.480,SharpRightTurn
0.850,0.477,SharpRightTurn
0.852,0.475,SharpRightTurn
0.851,0.473,SharpRightTurn
0.851,0.471,SharpRightTurn
0.851,0.470,SharpRightTurn
0.854,0.468,SharpRightTurn
0.852,0.467,SharpRightTurn
0.847,0.469,SharpRightTurn
0.845,0.470,SharpRightTurn
0.841,0.466,SharpRightTurn
0.839,0.465,SharpRightTurn
0.841,0.464,SharpRightTurn
0.840,0.463,SharpRightTurn
0.839,0.467,SharpRightTurn
0.838,0.480,SharpRightTurn
5.000,0.506,MoveForward
5.000,0.575,MoveForward
5.000,0.475,SlightRightTurn
5.000,0.476,SlightRightTurn
0.939,0.565,MoveForward
5.000,0.569,MoveForward
5.000,0.569,MoveForward
5.000,0.569,MoveForward
5.000,0.566,MoveForward
5.000,0.483,SlightRightTurn
5.000,0.573,MoveForward
5.000,0.573,MoveForward
0.816,0.506,SharpRightTurn
0.806,0.516,SharpRightTurn
0.794,0.528,SharpRightTurn
0.784,0.540,SharpRightTurn
0.772,0.552,SharpRightTurn
0.764,0.565,SharpRightTurn
0.756,0.606,SharpRightTurn
0.752,0.772,SharpRightTurn
0.753,0.993,SharpRightTurn
0.758,0.992,SharpRightTurn
0.758,0.595,SharpRightTurn
0.758,0.991,SharpRightTurn
0.758,0.597,SharpRightTurn
0.758,0.594,SharpRightTurn
0.761,0.986,SharpRightTurn
0.774,0.988,SharpRightTurn
0.777,0.762,SharpRightTurn
3.163,0.589,MoveForward
3.163,0.587,MoveForward
3.164,0.589,MoveForward
3.163,0.597,MoveForward
3.162,0.598,MoveForward
3.158,0.598,MoveForward
3.151,0.604,MoveForward
3.142,0.613,MoveForward
3.131,0.627,MoveForward
3.118,0.722,MoveForward
3.104,0.715,MoveForward
3.088,0.708,MoveForward
3.072,0.700,MoveForward
3.055,0.692,MoveForward
3.037,0.684,MoveForward
3.019,0.675,MoveForward
3.000,0.667,MoveForward
2.982,0.658,MoveForward
2.964,0.649,MoveForward
2.945,0.641,MoveForward
2.928,0.632,MoveForward
2.910,0.624,MoveForward
0.808,0.616,SharpRightTurn
0.789,0.609,SharpRightTurn
0.758,0.601,SharpRightTurn
0.759,0.593,SharpRightTurn
0.747,0.586,SharpRightTurn
2.801,0.621,MoveForward
2.786,0.611,MoveForward
2.776,0.605,MoveForward
2.769,0.603,MoveForward
2.765,0.598,MoveForward
2.769,0.599,MoveForward
2.766,0.600,MoveForward
2.764,0.600,MoveForward
2.763,0.599,MoveForward
2.761,0.598,MoveForward
2.758,0.597,MoveForward
2.753,0.595,MoveForward
2.745,0.592,MoveForward
2.734,0.578,MoveForward
2.722,0.583,MoveForward
2.708,0.574,MoveForward
2.693,0.551,MoveForward
2.678,0.551,MoveForward
2.661,0.558,MoveForward
2.644,0.550,MoveForward
2.626,0.546,MoveForward
2.608,0.536,MoveForward
2.589,0.528,MoveForward
2.570,0.521,MoveForward
2.550,0.513,MoveForward
2.531,0.505,MoveForward
2.511,0.498,MoveForward
2.491,0.490,SlightRightTurn
2.472,0.482,SlightRightTurn
2.452,0.474,SlightRightTurn
2.433,0.466,SlightRightTurn
2.415,0.457,SlightRightTurn
2.397,0.450,SlightRightTurn
2.380,0.443,SlightRightTurn
2.363,0.436,SlightRightTurn
2.348,0.430,SlightRightTurn
2.333,0.427,SlightRightTurn
2.319,0.425,SlightRightTurn
2.307,0.437,SlightRightTurn
1.793,0.426,SlightRightTurn
1.780,0.418,SlightRightTurn
1.768,0.426,SlightRightTurn
1.757,0.403,SlightRightTurn
1.749,0.397,SlightRightTurn
1.745,0.394,SlightRightTurn
2.243,0.392,SlightRightTurn
2.236,0.390,SlightRightTurn
2.229,0.388,SlightRightTurn
2.222,0.386,SlightRightTurn
2.218,0.387,SlightRightTurn
2.212,0.388,SlightRightTurn
2.205,0.387,SlightRightTurn
2.199,0.504,MoveForward
2.192,0.432,SlightRightTurn
2.185,0.381,SlightRightTurn
2.177,0.380,SlightRightTurn
2.165,0.376,SlightRightTurn
2.156,0.379,SlightRightTurn
2.147,0.428,SlightRightTurn
2.137,0.420,SlightRightTurn
2.127,0.422,SlightRightTurn
2.116,0.452,SlightRightTurn
2.105,0.426,SlightRightTurn
2.094,0.388,SlightRightTurn
2.083,0.390,SlightRightTurn
2.072,0.427,SlightRightTurn
2.062,0.401,SlightRightTurn
2.051,1.407,SlightLeftTurn
2.040,1.401,SlightLeftTurn
2.028,1.399,SlightLeftTurn
2.015,1.400,SlightLeftTurn
2.002,1.399,SlightLeftTurn
1.988,1.395,SlightLeftTurn
1.973,1.391,SlightLeftTurn
1.958,1.391,SlightLeftTurn
1.943,1.390,SlightLeftTurn
1.928,1.387,SlightLeftTurn
1.912,1.386,SlightLeftTurn
1.897,1.386,SlightLeftTurn
1.882,1.382,SlightLeftTurn
1.867,1.381,SlightLeftTurn
1.852,1.381,SlightLeftTurn
1.838,1.381,SlightLeftTurn
1.824,1.381,SlightLeftTurn
1.811,1.384,SlightLeftTurn
1.799,1.383,SlightLeftTurn
1.787,1.386,SlightLeftTurn
1.680,1.417,SlightLeftTurn
1.671,1.384,SlightLeftTurn
1.745,1.380,SlightLeftTurn
1.601,1.379,SlightLeftTurn
1.599,1.380,SlightLeftTurn
1.605,0.621,MoveForward
1.395,0.622,MoveForward
1.385,0.629,MoveForward
1.369,0.639,MoveForward
1.360,0.720,MoveForward
1.399,0.744,MoveForward
1.408,0.751,MoveForward
1.372,0.764,MoveForward
1.327,0.889,MoveForward
1.317,0.900,MoveForward
1.308,0.923,SlightLeftTurn
1.291,0.937,SlightLeftTurn
1.277,2.127,SlightLeftTurn
1.263,2.140,SlightLeftTurn
1.249,2.153,SlightLeftTurn
1.235,2.165,SlightLeftTurn
1.221,2.177,SlightLeftTurn
1.208,2.191,SlightLeftTurn
1.195,2.202,SlightLeftTurn
1.183,2.213,SlightLeftTurn
1.170,2.222,SlightLeftTurn
1.158,2.228,SlightLeftTurn
1.149,2.234,SlightLeftTurn
1.137,2.243,SlightLeftTurn
1.128,2.251,SlightLeftTurn
1.117,2.255,SlightLeftTurn
1.104,2.263,SlightLeftTurn
1.091,2.271,SlightLeftTurn
1.078,2.278,SlightLeftTurn
1.061,0.785,MoveForward
1.045,0.786,MoveForward
1.033,0.784,MoveForward
1.020,0.755,MoveForward
1.008,0.758,MoveForward
1.001,0.762,MoveForward
0.988,0.762,MoveForward
0.974,0.765,MoveForward
0.959,0.769,MoveForward
0.942,0.769,MoveForward
0.921,0.773,MoveForward
0.902,0.776,MoveForward
0.882,0.780,SharpRightTurn
0.863,0.781,SharpRightTurn
0.843,0.785,SharpRightTurn
0.823,0.789,SharpRightTurn
